_id,feedback,orderID,feedback_text
64324a0e362c27c707fe2e7e,5,64316ada362c27c707fe20c6,The restaurant had a good selection of sauces to choose from.
64324a0e362c27c707fe2e7f,2,64316ada362c27c707fe20c7,The food had a strange texture and was not enjoyable to eat.
64324a0e362c27c707fe2e80,1,64316ada362c27c707fe20c8,The food was not properly seasoned and lacked taste.
64324a0e362c27c707fe2e81,1,64316ada362c27c707fe20c9,The restaurant had a good selection of drinks to choose from.
64324a0e362c27c707fe2e82,4,64316ada362c27c707fe20ca,The restaurant took too long to prepare our food.
64324a0e362c27c707fe2e83,2,64316ada362c27c707fe20cb,The restaurant's portions were too small and did not satisfy our hunger.
64324a0e362c27c707fe2e84,5,64316ada362c27c707fe20cc,The food had an acceptable level of doneness.
64324a0e362c27c707fe2e85,1,64316ada362c27c707fe20cd,The restaurant's menu had a good balance of spicy and non-spicy dishes.
64324a0e362c27c707fe2e86,2,64316ada362c27c707fe20ce,The restaurant had excellent customer service and was very accommodating to our needs.
64324a0e362c27c707fe2e87,1,64316ada362c27c707fe20cf,"The online ordering process allowed us to track our rewards and loyalty points, which was a nice feature."
64324a0e362c27c707fe2e88,4,64316ada362c27c707fe20d0,The restaurant's waitstaff was unattentive and did not provide good service.
64324a0e362c27c707fe2e89,2,64316ada362c27c707fe20d1,"The food was delivered to us exactly as we had requested it, with no errors."
64324a0e362c27c707fe2e8a,3,64316ada362c27c707fe20d2,"The food was delivered with care and attention to detail, which we appreciated."
64324a0e362c27c707fe2e8b,4,64316ada362c27c707fe20d3,The restaurant had a good variety of menu options.
64324a0e362c27c707fe2e8c,5,64316ada362c27c707fe20d4,The food had an acceptable level of doneness.
64324a0e362c27c707fe2e8d,4,64316ada362c27c707fe20d5,The restaurant had a dirty and unsanitary dining area.
64324a0e362c27c707fe2e8e,5,64316ada362c27c707fe20d6,The food had a bad smell and was not appetizing.
64324a0e362c27c707fe2e8f,3,64316ada362c27c707fe20d7,The food had an unusual texture and was not enjoyable to eat.
64324a0e362c27c707fe2e90,2,64316ada362c27c707fe20d8,The restaurant's food was not presented well and looked unappealing.
64324a0e362c27c707fe2e91,2,64316ada362c27c707fe20d9,The restaurant had a dirty and unsanitary dining area.
64324a0e362c27c707fe2e92,1,64316ada362c27c707fe20da,The food had a reasonable portion size.
64324a0e362c27c707fe2e93,2,64316ada362c27c707fe20db,The restaurant's location was dirty or unclean.
64324a0e362c27c707fe2e94,1,64316ada362c27c707fe20dc,The food was delivered promptly and was still hot when it arrived.
64324a0e362c27c707fe2e95,1,64316ada362c27c707fe20dd,The restaurant took too long to prepare our food.
64324a0e362c27c707fe2e96,1,64316ada362c27c707fe20de,The food had an acceptable level of flavor.
64324a0e362c27c707fe2e97,3,64316ada362c27c707fe20df,The restaurant had a great selection of international cuisine that we had never tried before.
64324a0e362c27c707fe2e98,2,64316ada362c27c707fe20e0,"The delivery driver followed our special instructions perfectly, which made our meal even better."
64324a0e362c27c707fe2e99,1,64316ada362c27c707fe20e1,The food had a strange color and did not look appetizing.
64324a0e362c27c707fe2e9a,1,64316ada362c27c707fe20e2,The food had an acceptable level of saltiness.
64324a0e362c27c707fe2e9b,1,64316ada362c27c707fe20e3,The food was not properly seasoned and lacked flavor.
64324a0e362c27c707fe2e9c,1,64316ada362c27c707fe20e4,The restaurant did not have the ingredients to make the dish we wanted to order.
64324a0e362c27c707fe2e9d,4,64316ada362c27c707fe20e5,"The food was perfectly cooked and seasoned, and it was obvious that the chef put a lot of effort into the dish."
64324a0e362c27c707fe2e9e,3,64316ada362c27c707fe20e6,"The restaurant's staff was rude or unprofessional, leading to a negative experience."
64324a0e362c27c707fe2e9f,4,64316ada362c27c707fe20e7,The food had an acceptable level of richness.
64324a0e362c27c707fe2ea0,4,64316ada362c27c707fe20e8,"The restaurant's atmosphere was pleasant, but not exceptional."
64324a0e362c27c707fe2ea1,2,64316ada362c27c707fe20e9,The food had an acceptable level of freshness.
64324a0e362c27c707fe2ea2,3,64316ada362c27c707fe20ea,The food had an acceptable level of freshness and preparation.
64324a0e362c27c707fe2ea3,3,64316ada362c27c707fe20eb,The food had an acceptable level of flavor.
64324a0e362c27c707fe2ea4,1,64316ada362c27c707fe20ec,The food was reasonably priced and was a great value for the quality.
64324a0e362c27c707fe2ea5,4,64316ada362c27c707fe20ed,The restaurant had a good variety of menu options.
64324a0e362c27c707fe2ea6,1,64316ada362c27c707fe20ee,The online ordering process allowed us to customize our order to our liking.
64324a0e362c27c707fe2ea7,4,64316ada362c27c707fe20ef,The food was not cooked evenly and some parts were overcooked while others were undercooked.
64324a0e362c27c707fe2ea8,2,64316ada362c27c707fe20f0,"The restaurant had a great reputation for quality food and service, which they lived up to."
64324a0e362c27c707fe2ea9,1,64316ada362c27c707fe20f1,The restaurant had no seating available and was standing-room only.
64324a0e362c27c707fe2eaa,3,64316ada362c27c707fe20f2,"The food was perfectly portioned, and we didn't feel like we were overeating."
64324a0e362c27c707fe2eab,3,64316ada362c27c707fe20f3,"The restaurant had a great reputation for quality food and service, which they lived up to."
64324a0e362c27c707fe2eac,1,64316ada362c27c707fe20f4,The food was not properly seasoned and lacked flavor.
64324a0e362c27c707fe2ead,5,64316ada362c27c707fe20f5,The restaurant had a great variety of ethnic cuisines to choose from.
64324a0e362c27c707fe2eae,4,64316ada362c27c707fe20f6,The restaurant had a great selection of dishes for different occasions and preferences.
64324a0e362c27c707fe2eaf,3,64316ada362c27c707fe20f7,The food was packaged in a way that kept it warm and fresh during delivery.
64324a0e362c27c707fe2eb0,2,64316ada362c27c707fe20f8,"The restaurant's service was slow and inefficient, leading to a long wait time."
64324a0e362c27c707fe2eb1,4,64316ada362c27c707fe20f9,The restaurant had a rude and unprofessional staff.
64324a0e362c27c707fe2eb2,4,64316ada362c27c707fe20fa,The restaurant had a great system for tracking our order and providing updates on its status.
64324a0e362c27c707fe2eb3,5,64316ada362c27c707fe20fb,The restaurant had a great system for handling special requests and dietary restrictions.
64324a0e362c27c707fe2eb4,4,64316ada362c27c707fe20fc,"The ordering process was fast and efficient, and the restaurant had a secure payment system."
